t=2026-03-08T09:15:41-0400 lvl=info msg="no configuration paths supplied"
t=2026-03-08T09:15:41-0400 lvl=info msg="using configuration at default config path" path=/home/nico/snap/ngrok/350/.config/ngrok/ngrok.yml
t=2026-03-08T09:15:41-0400 lvl=info msg="open config file" path=/home/nico/snap/ngrok/350/.config/ngrok/ngrok.yml err=nil
t=2026-03-08T09:15:41-0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-08T09:15:41-0400 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-03-08T09:15:41-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-03-08T09:15:42-0400 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-08T09:15:42-0400 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-08T09:48:21-0400 lvl=info msg="join connections" obj=join id=13569842114f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:21-0400 lvl=info msg="join connections" obj=join id=d02c95d4b3a7 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:21-0400 lvl=info msg="join connections" obj=join id=d36f9b3eec89 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:21-0400 lvl=info msg="join connections" obj=join id=7be1cd98291d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:21-0400 lvl=info msg="join connections" obj=join id=e6c458b45247 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:22-0400 lvl=info msg="join connections" obj=join id=8d91021c8c3a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:22-0400 lvl=info msg="join connections" obj=join id=ebf2a7c39634 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:22-0400 lvl=info msg="join connections" obj=join id=d0b4e179fd7f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:22-0400 lvl=info msg="join connections" obj=join id=61d7430659c5 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:22-0400 lvl=info msg="join connections" obj=join id=6d8bc29c13d4 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:22-0400 lvl=info msg="join connections" obj=join id=b67ae70837e8 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:22-0400 lvl=info msg="join connections" obj=join id=882155b4f37f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:22-0400 lvl=info msg="join connections" obj=join id=a3719df8346d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:23-0400 lvl=info msg="join connections" obj=join id=100bd10b6ecf l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:23-0400 lvl=info msg="join connections" obj=join id=45a19f5daff1 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:23-0400 lvl=info msg="join connections" obj=join id=725f17eada5f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:23-0400 lvl=info msg="join connections" obj=join id=5cc4361d9bda l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:23-0400 lvl=info msg="join connections" obj=join id=ec918c197b5b l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:23-0400 lvl=info msg="join connections" obj=join id=e2ad752fc006 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:23-0400 lvl=info msg="join connections" obj=join id=1ac0a686142f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:23-0400 lvl=info msg="join connections" obj=join id=0fbaee2d1ec1 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:24-0400 lvl=info msg="join connections" obj=join id=f254fbc6e211 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:24-0400 lvl=info msg="join connections" obj=join id=80202069516b l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:24-0400 lvl=info msg="join connections" obj=join id=4dc8b0d14abb l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:24-0400 lvl=info msg="join connections" obj=join id=ac9be5b0f95c l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:24-0400 lvl=info msg="join connections" obj=join id=1caa8791b932 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:24-0400 lvl=info msg="join connections" obj=join id=8f229302aa5d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:24-0400 lvl=info msg="join connections" obj=join id=82567e98a6c0 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:24-0400 lvl=info msg="join connections" obj=join id=0b19f11f25ce l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:25-0400 lvl=info msg="join connections" obj=join id=72ef1b920c6c l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:25-0400 lvl=info msg="join connections" obj=join id=1463283f0f9b l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:25-0400 lvl=info msg="join connections" obj=join id=e915790c0780 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:25-0400 lvl=info msg="join connections" obj=join id=d8d11a5e5016 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:25-0400 lvl=info msg="join connections" obj=join id=15eb34bc7d0a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:25-0400 lvl=info msg="join connections" obj=join id=cd3311179cd7 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:25-0400 lvl=info msg="join connections" obj=join id=e6c51e74883c l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:25-0400 lvl=info msg="join connections" obj=join id=f4e2df197624 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:26-0400 lvl=info msg="join connections" obj=join id=4d7d44a9f3c8 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:26-0400 lvl=info msg="join connections" obj=join id=4cf628672c29 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:26-0400 lvl=info msg="join connections" obj=join id=9c60bd05cae4 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:26-0400 lvl=info msg="join connections" obj=join id=5d0979e92b7f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:26-0400 lvl=info msg="join connections" obj=join id=9812d0b067cd l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:26-0400 lvl=info msg="join connections" obj=join id=a453a09278dc l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:27-0400 lvl=info msg="join connections" obj=join id=39ccf387d2be l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:27-0400 lvl=info msg="join connections" obj=join id=dd5d1c4a40b8 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:27-0400 lvl=info msg="join connections" obj=join id=524138a132c0 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:27-0400 lvl=info msg="join connections" obj=join id=6fcf3d423d5d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:27-0400 lvl=info msg="join connections" obj=join id=dff3337791c2 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:27-0400 lvl=info msg="join connections" obj=join id=1ff0efb62b07 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:27-0400 lvl=info msg="join connections" obj=join id=e11c3cff1e1f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:27-0400 lvl=info msg="join connections" obj=join id=2cb6952b79f9 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:28-0400 lvl=info msg="join connections" obj=join id=f619a2135ad2 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:28-0400 lvl=info msg="join connections" obj=join id=8664abbd340d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:28-0400 lvl=info msg="join connections" obj=join id=6fd0de9add7a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:28-0400 lvl=info msg="join connections" obj=join id=2d94a4a19547 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:28-0400 lvl=info msg="join connections" obj=join id=0a65125e7466 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:28-0400 lvl=info msg="join connections" obj=join id=469ce195cea5 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:28-0400 lvl=info msg="join connections" obj=join id=1588ebd96a11 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:28-0400 lvl=info msg="join connections" obj=join id=70d463440d7a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=6dc54531ca6d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=9da5d44b6d07 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=81c66bd7d94b l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=2ef489a86e84 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=1725b712f884 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=3ac569681ee6 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=6deee685703d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=754376efb2b1 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=3c032d642936 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:29-0400 lvl=info msg="join connections" obj=join id=fe7e8fbb24e6 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:30-0400 lvl=info msg="join connections" obj=join id=880451760260 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:30-0400 lvl=info msg="join connections" obj=join id=15b07600952a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:30-0400 lvl=info msg="join connections" obj=join id=e8d8f0772bea l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:30-0400 lvl=info msg="join connections" obj=join id=499eb62d26bb l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:30-0400 lvl=info msg="join connections" obj=join id=896350cb6721 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:30-0400 lvl=info msg="join connections" obj=join id=22a40bae9974 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:30-0400 lvl=info msg="join connections" obj=join id=f2535bf317e2 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:30-0400 lvl=info msg="join connections" obj=join id=4d93b90a6000 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:31-0400 lvl=info msg="join connections" obj=join id=2d96d32023d6 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
